GeneID	control1	control2	control3	treat1	treat2	treat3	logFC	type	pvalue	qvalue	function
FCN51_02280	27.2	53.903	26.659	2.931	7.948	6.167	-2.660129668	down	1.02E-13	3.53E-13	purS; phosphoribosylformylglycinamidine synthase subunit PurS
FCN51_02285	777.503	929.505	565.45	167.054	166.996	174.433	-2.159975577	down	3.26E-13	1.08E-12	hypothetical protein
FCN51_02290	667.969	923.131	485.829	191.253	179.05	183.588	-1.906772166	down	1.52E-10	4.21E-10	purQ; phosphoribosylformylglycinamidine synthase subunit PurQ
FCN51_02295	573.531	701.109	464.074	165.142	164.077	163.86	-1.81812364	down	7.79E-10	2.02E-09	purL; phosphoribosylformylglycinamidine synthase subunit PurL
FCN51_02300	1556.757	1863.513	2005.397	137.209	128.194	136.236	-3.755819257	down	4.04E-35	5.98E-34	BolA family transcriptional regulator
FCN51_02305	3070.469	3585.183	4310.481	300.974	288.171	271.426	-3.671612207	down	4.00E-34	5.45E-33	grxD; Grx4 family monothiol glutaredoxin
FCN51_02310	1434.542	1920.57	1744.745	706.653	762.182	845.903	-1.139606866	down	0.000148327	0.000247419	hypothetical protein
FCN51_02335	169.437	185.595	124.729	29.866	37.587	32.931	-2.256752452	down	3.06E-14	1.08E-13	sulfurtransferase
FCN51_02340	171.603	193.453	130.173	41.828	50.451	41.772	-1.885290271	down	2.15E-10	5.86E-10	metC; cystathionine beta-lyase
FCN51_02350	541.183	547.265	343.663	164.072	152.253	153.308	-1.608531432	down	7.49E-08	1.66E-07	serA; phosphoglycerate dehydrogenase
FCN51_02355	85.695	67.125	61.228	16.549	25.128	19.127	-1.815645257	down	1.51E-09	3.80E-09	histidinol phosphate phosphatase
FCN51_02370	129.292	104.378	87.256	436.535	445.482	503.749	2.110360722	up	4.24E-16	1.68E-15	prephenate dehydratase
FCN51_02385	2430.798	1914.991	2446.405	5554.577	5664.416	5743.619	1.320408388	up	9.65E-08	2.12E-07	cold-shock protein
FCN51_02400	50.429	55.502	31.501	8.547	5.579	3.996	-2.922696556	down	4.00E-20	2.09E-19	glycine/betaine ABC transporter substrate-binding protein
FCN51_02405	109.771	124.042	78.128	27.557	27.59	27.474	-1.91665425	down	1.36E-10	3.78E-10	class I SAM-dependent methyltransferase
FCN51_02415	115.665	187.238	76.75	25.814	31.507	30.289	-2.115475951	down	2.12E-12	6.70E-12	fabD; ACP S-malonyltransferase
FCN51_02420	200.381	305.26	120.704	32.07	30.717	32.026	-2.723762007	down	1.81E-19	9.05E-19	fabG; 3-oxoacyl-[acyl-carrier-protein] reductase
FCN51_02425	652.29	950.005	496.442	255.224	271.584	275.99	-1.386409132	down	5.56E-06	1.05E-05	acyl carrier protein
FCN51_02440	482.944	352.954	468.748	151.122	148.003	141.002	-1.567660103	down	7.79E-08	1.72E-07	hypothetical protein
FCN51_02445	85.128	86.382	65.898	28.338	31.058	31.549	-1.384272964	down	5.44E-06	1.03E-05	inositol monophosphatase
FCN51_02450	52.192	52.498	42.203	122.756	136.728	137.533	1.434416574	up	7.45E-09	1.75E-08	lauroyl acyltransferase
FCN51_02455	15.607	16.049	12.498	46.304	53.969	53.414	1.799309233	up	4.09E-12	1.27E-11	lpxK; tetraacyldisaccharide 4'-kinase
FCN51_02460	73.344	83.895	58.726	160.441	158.958	163.878	1.162041728	up	1.14E-06	2.31E-06	DUF374 domain-containing protein
FCN51_02475	615.936	502.761	718.673	275.425	279.996	289.202	-1.12125997	down	0.000153781	0.000255902	DUF2849 domain-containing protein
FCN51_02480	2414.486	2458.01	3432.073	281.247	284.06	281.633	-3.293569033	down	1.11E-28	1.02E-27	cysC; adenylyl-sulfate kinase
FCN51_02485	875.275	1010.76	1055.475	131.923	123.285	138.172	-2.902551894	down	7.49E-23	4.74E-22	sulfate adenylyltransferase subunit 2
FCN51_02490	970.399	1076.661	1131.735	340.764	397.403	401.583	-1.479760135	down	4.29E-07	9.01E-07	phosphoadenylyl-sulfate reductase
FCN51_02495	25.278	26.946	21.63	13.548	10.496	4.887	-1.351968879	down	0.000118101	0.00019879	DUF333 domain-containing protein
FCN51_02520	1330.324	359.133	2277.746	181.387	177.14	187.624	-2.8607436	down	2.39E-23	1.57E-22	malate:quinone oxidoreductase
FCN51_02530	240.228	507.548	166.515	28.596	34.412	28.265	-3.324350678	down	1.09E-27	9.49E-27	aroC; chorismate synthase
FCN51_02535	282.103	484.187	192.498	73.769	68.207	72.967	-2.157242104	down	5.98E-13	1.96E-12	fabI; enoyl-ACP reductase FabI
FCN51_02540	144.811	136.192	139.942	33.718	42.061	39.634	-1.86679879	down	2.57E-10	6.96E-10	pdxH; pyridoxamine 5'-phosphate oxidase
FCN51_02550	49.867	64.135	40.929	23.522	24.836	21.461	-1.149900188	down	0.000270844	0.000441712	MBL fold metallo-hydrolase
FCN51_02575	184.151	226.916	118.179	32.958	30.712	34.611	-2.428918159	down	4.02E-16	1.60E-15	D-alanyl-D-alanine carboxypeptidase
FCN51_02580	29.929	23.814	14.944	4.518	4.084	4.494	-2.390643406	down	1.20E-13	4.10E-13	hypothetical protein
FCN51_02585	182.74	167.285	115.416	45.946	50.576	50.103	-1.666446974	down	2.53E-08	5.79E-08	lytic murein transglycosylase
FCN51_02600	19.077	33.875	12.893	199.053	201.832	198.831	3.187075153	up	4.60E-31	4.92E-30	amino acid permease
FCN51_02605	115.191	129.569	59.546	684.358	681.668	658.921	2.734277378	up	1.47E-24	1.03E-23	undecaprenyl-diphosphate phosphatase
FCN51_02610	112.2	141.972	115.286	15.484	15.161	18.732	-2.903423341	down	1.83E-21	1.07E-20	MCE family protein
FCN51_02615	63.648	62.162	32.179	313.391	253.21	277.739	2.41797768	up	6.67E-18	3.02E-17	_
FCN51_02620	416.5	300.121	358.718	735.334	800.224	801.33	1.119794879	up	3.79E-06	7.30E-06	DUF4167 domain-containing protein
FCN51_02630	62.121	57.531	31.96	171.553	177.552	183.698	1.813197836	up	9.61E-13	3.11E-12	hypothetical protein
FCN51_02645	617.693	584.178	504.694	224.841	230.527	239.439	-1.296407478	down	1.51E-05	2.75E-05	ispG; flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
FCN51_02665	143.708	119.093	91.538	26.193	22.805	27.505	-2.211497677	down	1.64E-13	5.57E-13	ubiG; bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG
FCN51_02675	92.814	102.997	80.967	21.173	23.529	27.752	-1.933547932	down	1.66E-10	4.57E-10	DUF2147 domain-containing protein
FCN51_02690	15.619	12.575	8.435	97.842	91.157	90.93	2.933900041	up	5.62E-26	4.35E-25	ComF family protein
FCN51_02695	552.616	232.398	920.034	45.939	49.604	51.493	-3.535544127	down	9.34E-33	1.12E-31	methyltransferase domain-containing protein
FCN51_02700	179.327	281.82	189.345	549.947	545.008	521.781	1.313476922	up	6.34E-08	1.41E-07	"moaA; GTP 3',8-cyclase MoaA"
FCN51_02715	9.848	8.931	7.3	75.728	77.695	79.236	3.157109192	up	3.61E-20	1.89E-19	_
FCN51_02720	128.851	102.623	123.402	24.35	29.345	28.179	-2.115797058	down	8.57E-13	2.78E-12	lipB; lipoyl(octanoyl) transferase LipB
FCN51_02725	268.938	275.668	241.85	95.713	93.811	99.121	-1.446060327	down	1.26E-06	2.53E-06	hypothetical protein
FCN51_02730	52.354	45.187	44.963	14.182	14.717	16.798	-1.640766716	down	2.40E-07	5.12E-07	BolA family transcriptional regulator
FCN51_02735	388.487	440.081	364.087	72.544	76.193	68.776	-2.454986972	down	8.93E-17	3.72E-16	J domain-containing protein
FCN51_02745	272.638	254.723	294.461	137.75	134.326	131.019	-1.027700593	down	0.00065458	0.001030055	cobT; cobaltochelatase subunit CobT
FCN51_02760	116.866	177.769	102.579	17.226	22.677	17.807	-2.782959137	down	3.04E-20	1.61E-19	DUF2125 domain-containing protein
FCN51_02765	233.465	173.896	225.219	68.06	74.244	74.606	-1.544138266	down	1.17E-07	2.55E-07	mfd; transcription-repair coupling factor
FCN51_02770	219.207	151.368	202.849	32.915	32.188	38.6	-2.467110471	down	1.83E-16	7.46E-16	succinate dehydrogenase assembly factor 2
FCN51_02780	345.184	256.627	280.872	671.115	701.385	684.752	1.220748408	up	5.47E-07	1.14E-06	thiamine phosphate synthase
FCN51_02785	162.255	96.003	138.301	326.793	309.243	303.19	1.243930514	up	4.51E-07	9.46E-07	thiazole synthase
FCN51_02790	11.745	6.167	12.189	53.059	44.705	47.682	2.272486278	up	6.25E-14	2.18E-13	thiS; sulfur carrier protein ThiS
FCN51_02795	144.563	89.419	148.453	405.771	405.824	419.359	1.686482581	up	5.03E-11	1.45E-10	thiO; glycine oxidase ThiO
FCN51_02805	3405.317	2398.836	2469.032	79.927	76.512	77.211	-5.1460039	down	9.12E-58	5.76E-56	phosphopyruvate hydratase
FCN51_02810	85.309	88.466	75.828	4.856	11.705	14.532	-3.004851696	down	5.89E-21	3.33E-20	septation inhibitor protein
FCN51_02815	22.586	35.019	9.073	55.115	48.856	66.901	1.357593692	up	2.31E-07	4.95E-07	rpmG; 50S ribosomal protein L33
FCN51_02820	103.776	90.805	101.318	29.887	33.071	31.382	-1.649132065	down	2.11E-08	4.84E-08	molybdopterin molybdotransferase MoeA
FCN51_02845	31.377	25.38	21.708	10.829	11.77	11.652	-1.195831961	down	0.000131707	0.00022089	adenosylmethionine--8-amino-7-oxononanoate transaminase
FCN51_02850	26.507	20.504	20.226	84.684	76.54	93.543	1.921803776	up	4.08E-13	1.35E-12	molybdenum cofactor biosynthesis protein MoaE
FCN51_02855	81.136	73.161	68.803	149.735	142.041	171.43	1.053953371	up	1.49E-05	2.72E-05	moaD; molybdopterin converting factor subunit 1
FCN51_02865	537.056	528.338	518.782	276.779	273.031	235.042	-1.013237309	down	0.000934328	0.00144813	pgsA; CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FCN51_02875	160.088	164.206	173.189	64.049	55.162	52.493	-1.534707072	down	1.94E-07	4.19E-07	membrane dipeptidase
FCN51_02880	21.077	22.665	16.249	54.317	50.677	51.981	1.387672255	up	3.00E-08	6.84E-08	exodeoxyribonuclease III
FCN51_02895	162.191	229.529	112.249	71.258	74.869	66.147	-1.247395517	down	5.73E-05	9.91E-05	1-acyl-sn-glycerol-3-phosphate acyltransferase
FCN51_02910	575.062	667.553	505.83	211.428	223.473	214.591	-1.428684565	down	1.77E-06	3.52E-06	ybeY; rRNA maturation RNase YbeY
FCN51_02915	202.575	232.814	140.194	63.123	60.969	65.653	-1.600946822	down	9.94E-08	2.18E-07	HlyC/CorC family transporter
FCN51_02920	386.121	475.653	238.497	49.892	58.57	49.953	-2.796054667	down	1.18E-20	6.45E-20	thiol:disulfide interchange protein
FCN51_02935	4589.755	156.78	7509.82	611.608	589.367	600.522	-2.766259786	down	2.73E-22	1.68E-21	acetyl-CoA hydrolase/transferase family protein
FCN51_02940	174.403	111.155	165.891	67.868	78.93	69.197	-1.063554649	down	0.000397728	0.00064128	phosphatase
FCN51_02945	96.065	120.086	115.859	42.627	48.769	44.504	-1.288662428	down	2.54E-05	4.54E-05	chorismate mutase
FCN51_02950	70.642	68.082	56.131	22.385	26.363	34.824	-1.221279808	down	8.78E-05	0.000149207	phosphohistidine phosphatase
FCN51_02955	7784.392	252.15	13668.595	693.237	677.76	676.138	-3.406356464	down	1.82E-31	2.01E-30	gltA; citrate (Si)-synthase
FCN51_02960	364.14	501.828	475.271	135.773	139.48	154.854	-1.640791987	down	2.69E-08	6.16E-08	hypothetical protein
FCN51_02965	140.371	137.139	152.056	38.156	44.279	38.059	-1.833892656	down	4.32E-10	1.15E-09	orotate phosphoribosyltransferase
FCN51_02985	418.68	590.713	581.185	223.452	218.056	217.443	-1.27130418	down	1.77E-05	3.20E-05	ribonucleotide-diphosphate reductase subunit beta
FCN51_02995	57.394	52.164	41.823	9.983	13.617	14.665	-1.984002324	down	5.28E-11	1.51E-10	Gfo/Idh/MocA family oxidoreductase
FCN51_03000	3	1.088	9.34	17.457	26.034	19.1	2.220457649	up	3.30E-10	8.86E-10	hypothetical protein
FCN51_03005	313.375	496.385	204.944	117.796	121.529	123.826	-1.482409829	down	1.15E-06	2.32E-06	secD; protein translocase subunit SecD
FCN51_03010	151.23	253.172	82.544	78.078	65.323	69.493	-1.193615061	down	0.0001784	0.000295279	secF; protein translocase subunit SecF
FCN51_03020	343.74	785.35	291.09	145.047	157.586	149.235	-1.652093966	down	5.30E-08	1.18E-07	mscL; large conductance mechanosensitive channel protein MscL
FCN51_03030	5229.156	3002.567	7134.488	401.783	514.242	461.105	-3.480021948	down	9.58E-32	1.08E-30	Hsp20 family protein
FCN51_03035	506.79	485.147	463.595	166.915	180.546	170.145	-1.491614923	down	4.55E-07	9.53E-07	DUF1013 domain-containing protein
FCN51_03040	15.578	14.8	16.166	2.158	1.951	4.541	-2.42741588	down	6.78E-08	1.51E-07	DUF465 domain-containing protein
FCN51_03045	107.617	85.264	102.476	21.505	34.209	28.234	-1.814855043	down	5.05E-09	1.21E-08	DUF465 domain-containing protein
FCN51_03050	321.272	291.157	255.431	81.085	84.134	87.895	-1.777662912	down	1.85E-09	4.60E-09	purE; 5-(carboxyamino)imidazole ribonucleotide mutase
FCN51_03055	226.283	321.436	151.991	57.528	52.546	61.224	-2.030229722	down	1.06E-11	3.18E-11	5-(carboxyamino)imidazole ribonucleotide synthase
FCN51_03070	135.983	157.774	121.999	39.746	41.193	42.18	-1.755658922	down	2.74E-09	6.69E-09	DNA helicase II
FCN51_03075	131.304	181.39	127.849	12.76	16.775	15.295	-3.296659722	down	3.61E-27	3.04E-26	50S ribosomal protein L11 methyltransferase
FCN51_03080	120.202	146.447	100.006	30.377	29.262	29.854	-2.034539909	down	6.40E-12	1.96E-11	aminopeptidase P family protein
FCN51_03085	13479.766	1547.057	21521.616	545.404	522.895	496.916	-4.545374396	down	2.63E-49	9.49E-48	NAD-dependent isocitrate dehydrogenase
FCN51_03090	54.732	77.913	55.938	20.75	19.409	19.697	-1.655582496	down	5.28E-08	1.18E-07	NUDIX hydrolase
FCN51_03115	13.161	5.968	15.024	52.653	53.646	52.37	2.21583663	up	1.91E-13	6.48E-13	hypothetical protein
FCN51_03125	154.006	154.91	173.834	57.891	56.669	58.044	-1.483794251	down	4.26E-07	8.94E-07	ABC transporter substrate-binding protein
FCN51_03130	48.866	83.756	42.462	133.505	141.571	140.699	1.247741454	up	1.94E-07	4.19E-07	pstS; phosphate ABC transporter substrate-binding protein PstS
FCN51_03150	2581.36	5601.534	1559.644	1580.42	1649.423	1621.61	-1.005880309	down	0.002234682	0.003356855	rpmI; 50S ribosomal protein L35
FCN51_03155	492.009	906.114	501.359	135.753	118.109	126.256	-2.321077684	down	4.37E-15	1.64E-14	mannitol dehydrogenase family protein
FCN51_03165	351.804	716.519	317.154	228.085	214.585	234.999	-1.031726816	down	0.001241649	0.001909542	(2Fe-2S)-binding protein
FCN51_03170	468.832	1018.629	430.77	288.741	290.008	276.673	-1.165065445	down	0.000195258	0.000321839	xanthine dehydrogenase family protein molybdopterin-binding subunit
FCN51_03175	8.27	10.25	7.438	0.401	1.45	0.338	-3.566026253	down	1.07E-14	3.91E-14	SufE family protein
FCN51_03180	347.172	393.074	358.637	45.668	50.217	45.277	-2.960587386	down	1.87E-23	1.24E-22	hslU; ATP-dependent protease ATPase subunit HslU
FCN51_03185	376.176	441.609	382.122	80.128	103.269	112.394	-2.020261506	down	5.65E-12	1.74E-11	hslV; ATP-dependent protease subunit HslV
FCN51_03200	285.291	396.641	231.269	113.762	115.014	100.663	-1.470912685	down	1.25E-06	2.52E-06	hypothetical protein
FCN51_03230	82.299	56.009	96.861	553.703	603.521	611.754	2.911130347	up	5.47E-26	4.26E-25	hypothetical protein
FCN51_03245	301.373	223.925	278.368	112.684	114.94	113.932	-1.234466626	down	3.17E-05	5.62E-05	penicillin-binding protein activator
FCN51_03250	96.632	81.448	74.325	21.867	18.934	20.724	-2.036442634	down	8.81E-12	2.66E-11	rsmI; 16S rRNA (cytidine(1402)-2'-O)-methyltransferase
FCN51_03260	397.754	462.1	350.685	160.496	158.774	160.387	-1.335569095	down	9.02E-06	1.68E-05	glutathione S-transferase family protein
FCN51_03265	163.9	146.099	124.296	66.232	59.633	61.959	-1.209280845	down	7.54E-05	0.000129096	minC; septum formation inhibitor MinC
FCN51_03270	234.75	291.384	155.508	23.567	26.626	29.568	-3.095210916	down	1.24E-24	8.76E-24	minD; septum site-determining protein MinD
FCN51_03275	573.445	766.162	398.544	111.085	116.644	120.529	-2.319315083	down	7.61E-15	2.81E-14	minE; cell division topological specificity factor MinE
FCN51_03280	172.72	191.789	111.849	25.473	34.647	29.764	-2.405870919	down	9.09E-16	3.55E-15	GntR family transcriptional regulator
FCN51_03320	131.287	157.53	129.327	40.549	39.704	38.701	-1.813570043	down	8.32E-10	2.14E-09	class I SAM-dependent methyltransferase
FCN51_03330	3118.981	7181.04	1984.938	1738.695	1721.929	1653.337	-1.264379485	down	6.12E-05	0.00010551	rpsR; 30S ribosomal protein S18
FCN51_03335	961.714	2499.02	644.179	638.637	625.989	637.388	-1.109822559	down	0.000609871	0.000963519	30S ribosomal protein S6
FCN51_03340	157.942	211.898	163.032	860.944	806.077	800.278	2.211065258	up	2.70E-17	1.18E-16	GNAT family N-acetyltransferase
FCN51_03345	191.158	242.848	198.63	611.153	627.274	642.995	1.572371379	up	3.17E-10	8.56E-10	rpoD; RNA polymerase sigma factor RpoD
FCN51_03350	12.559	11.57	9.723	32.577	37.832	40.597	1.713235823	up	2.51E-11	7.36E-11	DNA primase
FCN51_03355	12.079	23.369	12.814	1.952	3.882	2.3	-2.568408483	down	1.54E-12	4.92E-12	GatB/YqeY domain-containing protein
FCN51_03360	273.543	529.426	303.002	59.736	54.91	56.05	-2.695790958	down	1.19E-19	6.03E-19	carA; glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
FCN51_03365	279.771	614.015	349.455	113.566	116.588	114.777	-1.849717222	down	4.06E-10	1.08E-09	carB; carbamoyl-phosphate synthase large subunit
FCN51_03370	697.731	1203.943	645.022	270.851	265.515	292.447	-1.619504695	down	6.41E-08	1.42E-07	greA; transcription elongation factor GreA
FCN51_03375	464.752	763.207	412.05	190.559	188.501	195.806	-1.512401231	down	4.92E-07	1.03E-06	threonine ammonia-lyase
FCN51_03380	1017.057	961.958	1020.38	66.181	66.927	67.87	-3.899541945	down	1.84E-37	3.17E-36	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
FCN51_03385	361.109	339.215	344.352	62.389	60.667	67.523	-2.45457594	down	5.44E-17	2.31E-16	peptidase
FCN51_03390	575.771	628.406	430.344	74.378	80.803	76.173	-2.820677905	down	2.24E-21	1.30E-20	S41 family peptidase
FCN51_03395	457.879	425.107	343.493	56.908	48.488	47.346	-3.005329001	down	7.41E-24	5.01E-23	divergent polysaccharide deacetylase family protein
FCN51_03400	70.386	76.383	56.949	10.76	10.039	9.348	-2.756364797	down	1.35E-18	6.51E-18	RNA pyrophosphohydrolase
FCN51_03420	105.075	135.64	111.383	45.038	58.229	47.317	-1.225392095	down	5.03E-05	8.75E-05	CCA tRNA nucleotidyltransferase
FCN51_03425	125.43	142.143	124.925	15.279	20.715	19.042	-2.834170166	down	7.78E-21	4.31E-20	DUF1285 domain-containing protein
FCN51_03430	347.271	347.875	323.549	39.112	36.126	35.516	-3.201256631	down	1.07E-26	8.65E-26	MoxR family ATPase
FCN51_03435	128.122	117.546	108.175	14.115	13.902	14.773	-3.047674883	down	7.94E-24	5.35E-23	DUF58 domain-containing protein
FCN51_03440	103.707	127.876	101.626	23.563	23.37	21.117	-2.291709691	down	7.07E-15	2.62E-14	DUF4159 domain-containing protein
FCN51_03445	74.867	103.034	72.304	33.62	37.59	34.164	-1.247567905	down	4.04E-05	7.09E-05	VWA domain-containing protein
FCN51_03465	1347.599	960.216	1122.852	210.65	196.703	242.419	-2.400478216	down	2.45E-16	9.91E-16	CsbD family protein
FCN51_03470	75.107	65.966	53.358	468.07	485.585	465.261	2.867439809	up	4.93E-26	3.85E-25	MFS transporter
FCN51_03480	114.194	180.52	67.211	54.947	58.991	55.446	-1.095379568	down	0.000599203	0.000948824	multidrug transporter subunit MdtC
FCN51_03485	71.613	120.396	40.613	34.87	33.268	34.283	-1.183452343	down	0.000190348	0.000314119	nodulation protein
FCN51_03490	77.614	117.099	51.912	27.289	25.487	24.211	-1.679593624	down	3.11E-08	7.08E-08	efflux transporter outer membrane subunit
FCN51_03495	51.173	47.663	44.493	201.201	206.402	252.305	2.202910728	up	4.15E-16	1.65E-15	DUF1328 domain-containing protein
FCN51_03500	7.323	6.167	8.685	31.96	39.203	44.189	2.378879363	up	1.08E-14	3.92E-14	hypothetical protein
FCN51_03515	540.081	561.393	485.599	158.111	147.603	169.756	-1.738935892	down	3.32E-09	8.08E-09	ABC transporter substrate-binding protein
FCN51_03545	1344.147	2138.389	958.595	3338.518	3157.67	3022.103	1.099774915	up	2.15E-06	4.23E-06	secY; preprotein translocase subunit SecY
FCN51_03550	1241.521	1796.486	988.117	5432.561	5621.341	5726.517	2.059314411	up	9.38E-16	3.66E-15	50S ribosomal protein L15
FCN51_03555	1456.954	2612.162	1020.951	3342.99	3427.305	3663.491	1.035505762	up	6.23E-06	1.18E-05	rpmD; 50S ribosomal protein L30
FCN51_03565	1050.009	1681.871	622.859	444.912	488.137	426.871	-1.302676852	down	2.79E-05	4.98E-05	50S ribosomal protein L18
FCN51_03575	1777.713	3153.723	1078.885	965.289	962.406	947.23	-1.063916939	down	0.000948871	0.001468213	rpsH; 30S ribosomal protein S8
FCN51_03580	1780.399	3279.318	1069.719	964.217	996.664	1084.764	-1.009005824	down	0.001954653	0.002953768	rpsN; 30S ribosomal protein S14
FCN51_03585	2142.858	4336.341	1282.469	913.744	872.458	881.014	-1.541030995	down	5.07E-07	1.06E-06	rplE; 50S ribosomal protein L5
FCN51_03590	1381.479	2200.359	939.404	531.97	560.027	531.743	-1.477396791	down	1.23E-06	2.48E-06	50S ribosomal protein L24
FCN51_03595	2472.213	3944.384	1578.988	709.357	700.891	709.495	-1.915312731	down	1.59E-10	4.40E-10	rplN; 50S ribosomal protein L14
FCN51_03600	2415.358	4358.736	1687.031	913.397	919.736	928.016	-1.6155797	down	9.57E-08	2.10E-07	rpsQ; 30S ribosomal protein S17
FCN51_03610	2063.187	2942.524	1571.774	887.326	873.392	866.452	-1.324025506	down	1.41E-05	2.58E-05	rplP; 50S ribosomal protein L16
FCN51_03615	2502.519	4531.987	2018.477	1107.247	1138.203	1146.93	-1.416094664	down	3.30E-06	6.42E-06	rpsC; 30S ribosomal protein S3
FCN51_03620	1770.183	2907.697	1354.585	737.813	738.126	708.458	-1.465511296	down	1.37E-06	2.74E-06	50S ribosomal protein L22
FCN51_03625	3354.811	6415.126	2605.075	1388.764	1412.685	1471.197	-1.534227565	down	4.24E-07	8.91E-07	rpsS; 30S ribosomal protein S19
FCN51_03630	3546.357	6268.958	2877.162	2136.328	2055.989	2006.597	-1.033885894	down	0.001140846	0.001758409	rplB; 50S ribosomal protein L2
FCN51_03640	1680.959	2713.719	1223.122	792.453	831.648	875.031	-1.168577198	down	0.000178646	0.00029551	rplD; 50S ribosomal protein L4
FCN51_03645	1459.852	2489.788	1119.607	600.833	610.344	615.868	-1.472257778	down	1.22E-06	2.47E-06	50S ribosomal protein L3
FCN51_03650	4247.951	5765.355	3410.666	1411.25	1365.636	1534.965	-1.6384317	down	3.84E-08	8.70E-08	rpsJ; 30S ribosomal protein S10
FCN51_03655	3881.855	6960.691	3337.322	1945.537	1985.723	1999.505	-1.257553565	down	4.31E-05	7.52E-05	tuf; elongation factor Tu
FCN51_03660	6729.686	9098.794	5617.164	3495.933	3218.44	3201.392	-1.11288842	down	0.000319559	0.00051933	rpsG; 30S ribosomal protein S7
FCN51_03680	679.891	1693.469	470.826	422.603	476.808	480.748	-1.04317972	down	0.001397896	0.00214154	50S ribosomal protein L7/L12
FCN51_03715	42.116	27.452	32.871	82.33	92.41	89.378	1.366391689	up	4.07E-08	9.19E-08	HAMP domain-containing histidine kinase
FCN51_03725	16.976	17.67	12.011	68.335	67.851	63.77	2.099446005	up	1.12E-15	4.36E-15	DNA recombination protein RmuC
FCN51_03735	16449.392	6747.465	16092.207	2231.546	1971.301	1870.256	-2.693621453	down	1.83E-20	9.85E-20	hypothetical protein
FCN51_03740	64.078	29.964	78.706	137.28	157.648	147.714	1.357456063	up	1.30E-07	2.83E-07	thioredoxin-dependent thiol peroxidase
FCN51_03745	30.773	21.354	25.489	69.453	68.859	76.197	1.466576604	up	4.75E-09	1.14E-08	bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
FCN51_03750	100.95	94.952	81.723	35.023	35.649	35.674	-1.38434661	down	3.60E-06	6.94E-06	hypothetical protein
FCN51_03760	129.461	142.134	112.772	53.647	54.42	56.677	-1.222243544	down	6.42E-05	0.000110624	hypothetical protein
FCN51_03765	135.34	156.15	120.228	48.502	48.842	50.699	-1.475621524	down	8.83E-07	1.80E-06	hypothetical protein
FCN51_03775	420.679	220.185	413.112	2434.989	2507.345	2524.857	2.824720091	up	6.57E-25	4.75E-24	D-glycerate dehydrogenase
FCN51_03785	275.49	349.546	209.079	25.212	28.722	32.05	-3.278061025	down	4.83E-27	3.99E-26	hypothetical protein
